"","site","species","X.","nanodrop","avg.sq","conversion..200","FV3.load","log.load.FV3","Site.type","SRP..ppb.","NH3.N..ppb.","Chloride..ppm.","Sulfate..ppm.","fish","large_fish"
"90","HPC","T",284,186.899,52371.88066,10474376.13,56042.97579,4.748521188,"Urban",50.793,20.766,6.6374,1.359,1,0
"91","HPC","T",277,232.848,0,0,0,0,"Urban",50.793,20.766,6.6374,1.359,1,0
"92","HPC","T",278,207.88,0,0,0,0,"Urban",50.793,20.766,6.6374,1.359,1,0
"93","KP","T",262,578.846,456.6713867,91334.27734,157.7868334,2.19807076,"Green space",468.599,197.139,4.2616,0.5962,0,0
"95","KP","T",273,157.672,0,0,0,0,"Green space",468.599,197.139,4.2616,0.5962,0,0
"98","KP","T",275,348.389,0,0,0,0,"Green space",468.599,197.139,4.2616,0.5962,0,0
"100","KP","T",272,78.582,0,0,0,0,"Green space",468.599,197.139,4.2616,0.5962,0,0
"101","KP","T",274,202.245,589323.839,117864767.8,582782.1098,5.765506211,"Green space",468.599,197.139,4.2616,0.5962,0,0
"104","L60-UW","T",233,197.483,21.04943866,4209.887732,21.3177222,1.328740798,"Urban",43.346,35.774,31.9742,1.5309,0,0
"106","L60-UW","T",232,110.074,9.941035991,1988.207198,18.06245978,1.256776893,"Urban",43.346,35.774,31.9742,1.5309,0,0
"115","MCF","T",186,295.286,0,0,0,0,"Rural",103.122,99.54,2.1495,0.5753,1,0
"116","MCF","T",189,339.193,75.42966316,15085.93263,44.47595508,1.648125283,"Rural",103.122,99.54,2.1495,0.5753,1,0
"117","MCF","T",190,47.991,48084737.78,9616947555,200390647.3,8.301877448,"Rural",103.122,99.54,2.1495,0.5753,1,0
"121","MCF","T",187,128.931,8866.970747,1773394.149,13754.59858,4.13844792,"Rural",103.122,99.54,2.1495,0.5753,1,0
"123","MCF","T",184,339.182,7.364265418,1472.853084,4.342368061,0.637726632,"Rural",103.122,99.54,2.1495,0.5753,1,0
"130","ODP-UW","T",225,484.03,0,0,0,0,"Urban",7.817,39.167,50.9272,16.5188,0,0
"132","ODP-UW","T",228,154.35,18585.23053,3717046.106,24081.93136,4.381691314,"Urban",7.817,39.167,50.9272,16.5188,0,0
"133","ODP-UW","T",222,9.383,25060176.74,5012035348,534161286.2,8.727672409,"Urban",7.817,39.167,50.9272,16.5188,0,0
"134","ODP-UW","T",220,73.905,0,0,0,0,"Urban",7.817,39.167,50.9272,16.5188,0,0
"135","OPPE","T",288,155.332,199090.4601,39818092.02,256341.8486,5.408819512,"Green space",10.768,9.515,4.3652,0.5723,1,0
"136","OPPE","T",286,28.638,4177.184887,835436.9774,29172.3227,4.464971009,"Green space",10.768,9.515,4.3652,0.5723,1,0
"137","OPPE","T",290,50.943,0,0,0,0,"Green space",10.768,9.515,4.3652,0.5723,1,0
"138","OPPE","T",289,113.079,0,0,0,0,"Green space",10.768,9.515,4.3652,0.5723,1,0
"139","OPPE","T",287,114.967,0,0,0,0,"Green space",10.768,9.515,4.3652,0.5723,1,0
"140","OPPW","T",293,304.744,144.8784219,28975.68438,95.08205043,1.978098539,"Green space",28.575,21.061,3.1932,0.5734,1,0
"141","OPPW","T",295,195.82,1046.975046,209395.0091,1069.323915,3.02910928,"Green space",28.575,21.061,3.1932,0.5734,1,0
"142","OPPW","T",292,269.507,41056689,8211337800,30467994.52,7.483843869,"Green space",28.575,21.061,3.1932,0.5734,1,0
"143","OPPW","T",294,182.341,18.04498504,3608.997009,19.79257001,1.29650219,"Green space",28.575,21.061,3.1932,0.5734,1,0
"144","OPPW","T",291,171.107,13761289.75,2752257949,16085010.84,7.206421358,"Green space",28.575,21.061,3.1932,0.5734,1,0
