pop,FV3,ind,nacl,mass_g,svl,stage,viralload,nutrient,value,HazardRatio,scalenutrient
RRD,RV,80,0,0.1332,9.73,34,1570092.123,NH4,2.539263032,25.5113192,1.197894432
RRD,RV,80,0,0.1332,9.73,34,1570092.123,NP,6.293243545,25.5113192,0.646614066
RRD,RV,80,0,0.1332,9.73,34,1570092.123,SRP,0.403490349,25.5113192,0.182581155
RRD,RV,123,750,0.1331,9.87,NA,7211.885042,NH4,2.105075746,25.5113192,0.49177106
RRD,RV,123,750,0.1331,9.87,NA,7211.885042,NP,3.809998361,25.5113192,-0.937874118
RRD,RV,123,750,0.1331,9.87,NA,7211.885042,SRP,0.552513557,25.5113192,0.865971507
RRD,RV,121,750,0.2838,10.93,34,21885.29636,NH4,1.260189163,25.5113192,-0.882276918
RRD,RV,121,750,0.2838,10.93,34,21885.29636,NP,4.868386269,25.5113192,-0.26254687
RRD,RV,121,750,0.2838,10.93,34,21885.29636,SRP,0.258851515,25.5113192,-0.480703338
RRD,RV,138,1000,0.1569,9.46,33,355.3097088,NH4,1.374525799,25.5113192,-0.696330039
RRD,RV,138,1000,0.1569,9.46,33,355.3097088,NP,5.28525792,25.5113192,0.003447083
RRD,RV,138,1000,0.1569,9.46,33,355.3097088,SRP,0.260067875,25.5113192,-0.475125356
RRD,RV,106,500,0.1573,9.45,35,353.523068,NH4,2.364363299,25.5113192,0.913453148
RRD,RV,106,500,0.1573,9.45,35,353.523068,NP,5.101509134,25.5113192,-0.113797795
RRD,RV,106,500,0.1573,9.45,35,353.523068,SRP,0.463463504,25.5113192,0.45760594
RRD,RV,77,0,0.1936,9.82,34,2105.212705,NH4,2.899478531,25.5113192,1.783716705
RRD,RV,77,0,0.1936,9.82,34,2105.212705,NP,5.647820806,25.5113192,0.234788157
RRD,RV,77,0,0.1936,9.82,34,2105.212705,SRP,0.513380051,25.5113192,0.686513147
RRD,RV,78,0,0.1839,8.93,35,177486.5488,NH4,3.203863938,25.5113192,2.278741909
RRD,RV,78,0,0.1839,8.93,35,177486.5488,NP,5.809888244,25.5113192,0.338198784
RRD,RV,78,0,0.1839,8.93,35,177486.5488,SRP,0.551450183,25.5113192,0.861095092
