ind,pop,NaCl,mass_g,svl_mm,stage,ng/uL ,260/280,260/230,Cq1,Cq2,SQ1,SQ2,
161,RR D,0.25 g/L,,13,34,78.40,1.86,0.95,38.31,37.47,13.30414,23.08627,
162,RR D,0.25 g/L,,12.15,33,70.90,1.85,1.02,35.81,37.75,68.26589,19.15646,
163,RR D,0.25 g/L,,12.74,34,88.40,1.83,1.00,37.01,35.21,4.26515,13.18989,
165,RR D,0.25 g/L,,11.8,36,65.60,1.76,0.73,35.37,35.70,11.94805,9.72913,
166,RR D,0.25 g/L,0.1876,12.69,33,98.20,1.81,0.88,26.71,39.30,2739.86581,1.01723,
167,RR D,0.25 g/L,0.1791,11.92,33,71.40,1.82,0.92,,34.77,,17.40087,
168,RR D,0.25 g/L,0.161,11.18,31,65.70,1.98,0.99,36.45,36.72,6.07710,5.12419,
171,RR D,0.25 g/L,0.3006,13.52,34,147.20,1.86,0.98,28.15,26.25,1106.24217,3646.14459,
172,RR D,0.25 g/L,0.1697,11.2,31,99.30,1.93,1.13,29.06,28.02,625.73908,1200.78823,
173,RR D,0.25 g/L,0.295,14.08,37,147.90,1.78,0.80,36.45,34.67,6.05869,18.58787,
174,RR D,0.25 g/L,0.2508,12.36,35,119.90,1.83,0.79,26.44,18.44,3231.88756,488424.19648,
199,RR G,0.5 g/L,0.3327,12.31,38,292.22,1.84,1.109,30.86,33.78,495.77571,49.52101,
200,RR G,0.5 g/L,0.1845,10.54,36,112.716,1.897,1.135,32.76,32.60,110.67688,125.51092,
201,RR G,0.5 g/L,0.1987,10.18,36,161.304,1.864,1.05,33.72,33.04,52.03661,88.74470,
202,RR G,0.5 g/L,0.2464,11.5,35,150.71,1.832,0.977,33.77,33.17,49.93818,79.86503,
204,RR G,0.5 g/L,0.224,10.54,35,130.408,1.974,1.307,32.85,33.29,102.76845,72.92996,
205,RR G,0.5 g/L,0.1766,9.75,34,159.832,1.852,0.974,33.17,33.27,79.97532,73.74275,
