pop,death_hr,survival,rep,FV3
RRB,170,1,7,RV
RRB,144,1,8,RV
RRB,170,1,9,RV
RRB,190,1,10,RV
RRC,186,1,1,RV
RRC,122,1,2,RV
RRC,170,1,3,RV
RRC,174,1,4,RV
RRC,178,1,5,RV
RRC,164,1,6,RV
RRC,170,1,7,RV
RRC,190,1,8,RV
RRC,182,1,9,RV
RRC,160,1,10,RV
RRD,214,1,1,RV
RRD,182,1,2,RV
RRD,170,1,3,RV
RRD,206,1,4,RV
RRD,178,1,5,RV
RRD,150,1,6,RV
RRD,130,1,7,RV
RRD,94,1,8,RV
RRD,154,1,9,RV
RRD,186,1,10,RV
RRE,126,1,1,RV
RRE,178,1,2,RV
RRE,160,1,3,RV
RRE,158,1,4,RV
RRE,202,1,5,RV
RRE,150,1,6,RV
RRE,202,1,7,RV
RRE,202,1,8,RV
RRE,246,0,9,RV
RRE,246,0,10,RV
RRF,246,0,1,RV
RRF,160,1,2,RV
RRF,178,1,3,RV
RRF,190,1,4,RV
RRF,162,1,5,RV
RRF,226,1,6,RV
RRF,140,1,7,RV
RRF,178,1,8,RV
RRF,190,1,9,RV
RRF,194,1,10,RV
RRG,246,0,1,RV
RRG,202,1,2,RV
RRG,210,1,3,RV
RRG,242,1,4,RV
RRG,154,1,5,RV
RRG,170,1,6,RV
RRG,190,1,7,RV
RRG,186,1,8,RV
RRG,130,1,9,RV
RRG,246,0,10,RV
SEWA,162,1,1,RV
SEWA,174,1,2,RV
SEWA,166,1,3,RV
SEWA,154,1,4,RV
SEWA,144,1,5,RV
SEWA,186,1,6,RV
SEWA,154,1,7,RV
SEWA,170,1,8,RV
SEWA,154,1,9,RV
SEWA,154,1,10,RV
SEWB,170,1,1,RV
SEWB,178,1,2,RV
SEWB,126,1,3,RV
SEWB,166,1,4,RV
SEWB,164,1,5,RV
SEWB,178,1,6,RV
SEWB,178,1,7,RV
SEWB,134,1,8,RV
SEWB,142,1,9,RV
SEWB,154,1,10,RV
SEWC,186,1,1,RV
SEWC,160,1,2,RV
SEWC,194,1,3,RV
SEWC,246,0,4,RV
SEWC,206,1,5,RV
SEWC,154,1,6,RV
SEWC,140,1,7,RV
SEWC,198,1,8,RV
SEWC,246,0,9,RV
SEWC,138,1,10,RV
SEWD,168,1,1,RV
SEWD,170,1,2,RV
SEWD,138,1,3,RV
SEWD,190,1,4,RV
SEWD,160,1,5,RV
SEWD,160,1,6,RV
SEWD,144,1,7,RV
SEWD,158,1,8,RV
SEWD,246,0,9,RV
SEWD,170,1,10,RV
SEWE,210,1,1,RV
SEWE,246,0,2,RV
SEWE,140,1,3,RV
SEWE,160,1,4,RV
SEWE,220,1,5,RV
SEWE,246,0,6,RV
SEWE,162,1,7,RV
SEWE,158,1,8,RV
SEWE,246,0,9,RV
SEWE,246,0,10,RV
SEWF,190,1,1,RV
SEWF,246,0,2,RV
SEWF,154,1,3,RV
SEWF,158,1,4,RV
SEWF,110,1,5,RV
SEWF,144,1,6,RV
SEWF,160,1,7,RV
SEWF,140,1,8,RV
SEWF,232,1,9,RV
SEWF,214,1,10,RV
SEWG,130,1,1,RV
SEWG,160,1,2,RV
SEWG,126,1,3,RV
SEWG,142,1,4,RV
SEWG,132,1,5,RV
SEWG,122,1,6,RV
SEWG,194,1,7,RV
SEWG,136,1,8,RV
SEWG,214,1,9,RV
SEWG,162,1,10,RV
SEWH,150,1,1,RV
SEWH,206,1,2,RV
SEWH,142,1,3,RV
SEWH,154,1,4,RV
SEWH,194,1,5,RV
SEWH,150,1,6,RV
SEWH,238,1,7,RV
SEWH,154,1,8,RV
SEWH,144,1,9,RV
SEWH,158,1,10,RV
SEWI,126,1,1,RV
SEWI,154,1,2,RV
SEWI,226,1,3,RV
SEWI,148,1,4,RV
SEWI,160,1,5,RV
SEWI,164,1,6,RV
