ind,susc,pop,nacl,FV3,mass_g,stage,svl_mm,ng/uL,260/280,260/230,Cq1,Cq2,SQ1,SQ2,notes
83,Susceptible ,SEWG,0 g/L,RV,0.2274,36,10.62,167.5,1.81,0.84,27.40634103,27.27476999,55636.1613,60638.99049,
84,Susceptible ,SEWG,0 g/L,RV,0.2187,36,10.92,154.1,1.81,0.88,32.19305692,31.69273397,2425.98613,3365.804565,
85,Susceptible ,SEWG,0 g/L,RV,0.2872,37,11.06,118.6,1.85,0.94,32.22339336,30.33132792,2378.297428,8203.977111,
86,Susceptible ,RRD,0 g/L,CTRL,0.1676,31,9.8,51.352,1.998,1.052,33.67035351,33.22859842,146.8395943,190.2064107,
87,Susceptible ,RRD,0 g/L,CTRL,0.1916,35,9.55,116.093,1.932,1.128,30.123048,29.4704094,1172.933869,1719.111396,
88,Susceptible ,RRD,0 g/L,CTRL,0.1596,32,9.95,40,1.971,0.817,38.75158642,38.76494591,7.484856839,7.426511527,
89,Susceptible ,SEWG,0 g/L,CTRL,0.2321,36,10.29,97.043,1.768,0.643,35.06238356,36.29927637,64.96992517,31.48098341,
90,Susceptible ,SEWG,0 g/L,CTRL,0.2198,36,10.23,186.5,1.73,0.73,35.14742268,35.08977337,131.0824391,136.2124465,
91,Susceptible ,RRD,0.25 g/L,RV,0.1921,34,10.04,115.9,1.99,1.37,24.06220456,24.04089282,496386.0382,503357.7141,
92,Susceptible ,RRD,0.25 g/L,RV,0.0953,31,7.37,55.3,1.92,1.03,30.31223033,30.21934325,8307.154925,8827.799332,
93,Susceptible ,RRD,0.25 g/L,RV,0.1918,35,10.28,124.6,1.92,1.19,28.45724128,28.63579346,27968.73503,24884.28427,
94,Susceptible ,RRD,0.25 g/L,RV,0.1662,32,10.14,106.7,1.96,1.32,30.46508145,31.22622815,7516.390466,4567.494726,
95,Susceptible ,RRD,0.25 g/L,RV,0.1386,31,9,89.1,1.92,1.12,29.26112667,27.67375581,1749.011428,4563.738038,
96,Susceptible ,SEWG,0.25 g/L,RV,0.131,32,9.37,148,1.86,1.04,27.44041022,26.66685274,5254.735678,8385.583877,
97,Susceptible ,SEWG,0.25 g/L,RV,0.17,32,9.59,116.3,1.78,0.79,27.14658867,24.10495971,6275.52422,39425.49731,
98,Susceptible ,SEWG,0.25 g/L,RV,0.2894,35,10.61,131,1.78,0.81,32.18527319,28.86050191,298.877357,2228.00969,
99,Susceptible ,SEWG,0.25 g/L,RV,0.1673,34,9.92,158.6,1.91,1.11,26.37841578,28.43404298,9982.044922,2882.839207,
100,Susceptible ,SEWG,0.25 g/L,RV,0.2808,36,10.71,172.5,1.77,0.81,26.08626699,26.17075356,11909.12136,11316.45345,
101,Susceptible ,RRD,0.25 g/L,CTRL,0.0963,33,8.59,20.919,1.932,0.664,34.9332391,35.02283161,70.07555811,66.49275637,
102,Susceptible ,RRD,0.25 g/L,CTRL,0.1407,28,9.58,38.7,1.73,0.71,29.2315052,29.48471922,6736.557243,5691.255398,
103,Susceptible ,RRD,0.25 g/L,CTRL,0.1249,33,9.02,28.163,1.959,0.671,35.12903468,35.48380801,62.48221255,50.75776407,
104,Susceptible ,SEWG,0.25 g/L,CTRL,0.3233,36,11.06,117.452,1.849,0.956,31.76329663,32.09515467,448.7414692,369.463814,
105,Susceptible ,SEWG,0.25 g/L,CTRL,0.2799,36,11.55,76.863,1.843,0.847,34.5602483,34.46504361,87.18765288,92.1881177,
106,Susceptible ,RRD,0.5 g/L,RV,0.1573,35,9.45,86.9,1.85,0.94,33.54051147,33.06715112,131.7882913,175.4232548,
107,Susceptible ,RRD,0.5 g/L,RV,0.2258,36,10.4,161.9,1.8,0.92,34.22996941,34.2310827,86.88848342,86.83005782,
108,Susceptible ,RRD,0.5 g/L,RV,0.1571,36,9.36,95.8,1.77,0.87,35.08885562,31.51468917,51.71177242,448.1826952,
109,Susceptible ,RRD,0.5 g/L,RV,0.142,32,9.52,47.9,1.82,0.84,32.50033823,34.19227107,247.0697408,88.89028728,
110,Susceptible ,RRD,0.5 g/L,RV,0.1713,35,10.3,70.5,1.9,1.23,28.73897392,26.7863076,2397.762529,7801.681302,
111,Susceptible ,SEWG,0.5 g/L,RV,0.1844,35,9.62,1204.5,1.56,0.59,33.50702564,33.08278125,134.4818114,173.7743996,
112,Susceptible ,SEWG,0.5 g/L,RV,0.2059,,10.29,153.3,1.79,0.84,32.16552593,33.05530338,302.4647161,176.6835123,
113,Susceptible ,SEWG,0.5 g/L,RV,0.2941,37,11.48,162.5,1.71,0.69,29.25564101,29.57994975,1754.818036,1442.557323,
114,Susceptible ,SEWG,0.5 g/L,RV,0.2276,35,10.7,127.3,1.72,0.65,30.01343219,30.26964027,1110.163014,950.9494718,
115,Susceptible ,SEWG,0.5 g/L,RV,0.267,39,10.41,150.6,1.75,0.77,34.36020179,35.52954423,80.313598,39.62344134,
116,Susceptible ,RRD,0.5 g/L,CTRL,0.1796,34,9.92,58.489,1.964,0.925,35.70577264,35.15455599,44.56921071,61.55506736,
117,Susceptible ,RRD,0.5 g/L,CTRL,0.2328,35,10.61,43.903,1.936,0.883,NA,35.6609195,NA,45.75573418,
118,Susceptible ,RRD,0.5 g/L,CTRL,0.1906,34,9.53,61.536,1.979,1.078,36.1063743,36.2699092,35.24701569,32.02722153,
119,Susceptible ,SEWG,0.5 g/L,CTRL,0.277,36,11.12,87.101,1.85,0.784,38.63630713,NA,8.007748286,NA,
120,Susceptible ,SEWG,0.5 g/L,CTRL,0.1915,35,10.69,56.705,1.928,0.97,38.47251685,36.73790744,8.814110036,24.34787489,
121,Susceptible ,RRD,0.75 g/L,RV,0.2838,34,10.93,156.4,1.93,1.3,26.55899419,24.84058327,8950.25735,25278.34615,
122,Susceptible ,RRD,0.75 g/L,RV,0.1436,33,9.36,122.2,1.96,1.46,28.86077479,27.95573312,2227.642377,3848.836972,
123,Susceptible ,RRD,0.75 g/L,RV,0.1331,,9.87,83.4,1.91,1.16,28.42655036,28.30383753,2895.919563,3118.792562,
124,Susceptible ,RRD,0.75 g/L,RV,0.1307,34,9.21,1318,1.5,0.67,31.27163581,31.57460339,519.0779512,432.248523,
125,Susceptible ,RRD,0.75 g/L,RV,0.1769,35,10.12,68.8,1.85,0.96,30.64854776,29.11410966,756.365394,1911.48146,
126,Susceptible ,SEWG,0.75 g/L,RV,0.1451,34,9.36,111,1.76,0.73,27.80793545,26.64577685,4208.349541,8493.049352,
127,Susceptible ,SEWG,0.75 g/L,RV,0.2126,37,10.35,137.4,1.87,1.06,23.94051644,20.18979479,43543.89731,419876.1981,
128,Susceptible ,SEWG,0.75 g/L,RV,0.2948,38,11.4,198.8,1.8,0.81,26.41990421,27.33663729,9734.931627,5594.754317,
129,Susceptible ,SEWG,0.75 g/L,RV,0.2014,35,9.96,2096.9,1.51,0.59,33.38312119,35.45842232,144.935986,41.36325125,
130,Susceptible ,SEWG,0.75 g/L,RV,0.1774,35,9.61,130.5,1.8,0.89,24.17765909,24.09851058,37731.21351,39579.42137,
131,Susceptible ,RRD,0.75 g/L,CTRL,0.1489,33,9.19,56.4,1.76,0.76,34.21314177,32.60115905,244.1969056,714.3784159,
132,Susceptible ,RRD,0.75 g/L,CTRL,0.1539,31,9.26,30.353,2.054,0.889,NA,37.94776917,NA,11.98598307,
133,Susceptible ,RRD,0.75 g/L,CTRL,0.225,32,10.71,50.381,1.979,0.969,NA,NA,NA,NA,
134,Susceptible ,SEWG,0.75 g/L,CTRL,0.2596,36,10.23,106.2,1.73,0.63,0,37.2519329,0,32.27873785,
135,Susceptible ,SEWG,0.75 g/L,CTRL,0.2983,36,11.64,129.876,1.839,0.881,NA,NA,NA,NA,
136,Susceptible ,RRD,1.0 g/L,RV,0.1766,33,9.82,64.6,1.87,1.16,27.11528921,27.26968754,6395.331021,5825.708061,
137,Susceptible ,RRD,1.0 g/L,RV,0.2185,35,10.38,86,1.94,1.16,27.13968523,27.49806156,6301.754542,5074.848628,
138,Susceptible ,RRD,1.0 g/L,RV,0.1569,33,9.46,52.9,1.85,1.05,34.191175,34.01382956,88.94917373,99.00966222,
139,Susceptible ,RRD,1.0 g/L,RV,0.2292,35,10.53,88.2,1.8,0.84,32.85084371,32.59477306,199.9155119,233.3671624,
140,Susceptible ,RRD,1.0 g/L,RV,0.2334,35,10.63,90.8,1.79,0.95,25.65290981,26.04295933,15473.66446,12224.85461,
141,Susceptible ,SEWG,1.0 g/L,RV,0.2157,36,10.41,858.9,1.59,0.57,33.97436134,31.05130464,101.3990975,592.9905219,
142,Susceptible ,SEWG,1.0 g/L,RV,0.1793,35,10.44,196.1,1.82,0.89,31.70318831,33.51047179,399.9380052,134.2020891,
143,Susceptible ,SEWG,1.0 g/L,RV,0.2,35,10.87,148.8,1.85,0.98,30.39304747,30.09954702,882.6230007,1053.877463,
144,Susceptible ,SEWG,1.0 g/L,RV,0.15,34,9.4,426,1.58,0.62,26.0400521,25.94101655,12246.34707,13001.50459,
145,Susceptible ,SEWG,1.0 g/L,RV,0.2634,37,10.75,160.1,1.79,0.84,25.29134495,25.81867965,19251.6625,13998.93405,
146,Susceptible ,RRD,1.0 g/L,CTRL,0.1498,33,9.88,54.376,1.958,0.956,NA,NA,NA,NA,
147,Susceptible ,RRD,1.0 g/L,CTRL,0.1577,35,9.81,67.2,1.79,0.79,38.09738025,37.30119563,18.38280249,31.23702592,
148,Susceptible ,RRD,1.0 g/L,CTRL,0.1727,32,9.36,72.778,2.03,1.171,NA,NA,NA,NA,
149,Susceptible ,SEWG,1.0 g/L,CTRL,0.1513,34,9.05,132.48,1.848,0.868,NA,NA,NA,NA,
150,Susceptible ,SEWG,1.0 g/L,CTRL,0.1872,34,10.03,104.572,1.871,0.894,36.06966146,36.19394981,36.01322823,33.48445571,
